::[info]::[17:16:59,347]::[3157]::Starting P2P 111::
::[info]::[17:17:02,649]::[3157]::111 on_clock(): 1697649422.647567::
::[info]::[17:17:02,652]::[3157]::{"id": 111, "connections": 1, "msg_id": 0, "topic": "1"}::
::[info]::[17:17:02,653]::[3157]::{"id": 111, "connections": 1, "msg_id": 0, "topic": "2"}::
::[info]::[17:17:03,651]::[3157]::111 on_clock(): 1697649423.64953::
::[info]::[17:17:04,652]::[3157]::111 on_clock(): 1697649424.6515753::
::[info]::[17:17:05,654]::[3157]::111 on_clock(): 1697649425.6534317::
::[info]::[17:17:06,657]::[3157]::111 on_clock(): 1697649426.6557243::
::[info]::[17:17:06,664]::[3157]::{"id": 111, "connections": 2, "msg_id": 4, "topic": "1"}::
::[info]::[17:17:07,658]::[3157]::111 on_clock(): 1697649427.657594::
::[info]::[17:17:08,660]::[3157]::111 on_clock(): 1697649428.659512::
::[info]::[17:17:09,662]::[3157]::111 on_clock(): 1697649429.6613567::
::[info]::[17:17:10,664]::[3157]::111 on_clock(): 1697649430.6632085::
::[info]::[17:17:10,737]::[3157]::{"id": 112, "connections": 1, "msg_id": 0, "topic": "1"}::
::[info]::[17:17:11,666]::[3157]::111 on_clock(): 1697649431.6650581::
::[info]::[17:17:11,735]::[3157]::{"id": 112, "connections": 2, "msg_id": 1, "topic": "1"}::
::[info]::[17:17:12,668]::[3157]::111 on_clock(): 1697649432.6671343::
::[info]::[17:17:13,670]::[3157]::111 on_clock(): 1697649433.6688128::
::[info]::[17:17:14,671]::[3157]::111 on_clock(): 1697649434.6704965::
::[info]::[17:17:15,673]::[3157]::111 on_clock(): 1697649435.6724195::
::[info]::[17:17:16,675]::[3157]::111 on_clock(): 1697649436.6743183::
::[info]::[17:17:17,677]::[3157]::111 on_clock(): 1697649437.6761844::
::[info]::[17:17:18,679]::[3157]::111 on_clock(): 1697649438.6779156::
::[info]::[17:17:19,681]::[3157]::111 on_clock(): 1697649439.67982::
::[info]::[17:17:20,683]::[3157]::111 on_clock(): 1697649440.6816785::
::[info]::[17:17:21,684]::[3157]::111 on_clock(): 1697649441.6836019::
::[info]::[17:17:22,686]::[3157]::111 on_clock(): 1697649442.685495::
::[info]::[17:17:23,688]::[3157]::111 on_clock(): 1697649443.6875987::
::[info]::[17:17:24,691]::[3157]::111 on_clock(): 1697649444.689474::
::[info]::[17:17:25,694]::[3157]::111 on_clock(): 1697649445.6915493::
::[info]::[17:17:26,694]::[3157]::111 on_clock(): 1697649446.6934023::
::[info]::[17:17:27,696]::[3157]::111 on_clock(): 1697649447.6953695::
::[info]::[17:17:28,698]::[3157]::111 on_clock(): 1697649448.697226::
::[info]::[17:17:29,700]::[3157]::111 on_clock(): 1697649449.6991189::
::[info]::[17:17:30,702]::[3157]::111 on_clock(): 1697649450.7010133::
::[info]::[17:17:31,704]::[3157]::111 on_clock(): 1697649451.70273::
::[info]::[17:17:32,707]::[3157]::111 on_clock(): 1697649452.7046008::
::[info]::[17:17:33,707]::[3157]::111 on_clock(): 1697649453.7064903::
::[info]::[17:17:34,709]::[3157]::111 on_clock(): 1697649454.7083838::
::[info]::[17:17:35,711]::[3157]::111 on_clock(): 1697649455.7102761::
::[info]::[17:17:36,713]::[3157]::111 on_clock(): 1697649456.7121327::
::[info]::[17:17:37,715]::[3157]::111 on_clock(): 1697649457.7140791::
::[info]::[17:17:38,717]::[3157]::111 on_clock(): 1697649458.7159362::
::[info]::[17:17:39,719]::[3157]::111 on_clock(): 1697649459.7179222::
::[info]::[17:17:40,721]::[3157]::111 on_clock(): 1697649460.7198133::
::[info]::[17:17:41,723]::[3157]::111 on_clock(): 1697649461.721629::
::[info]::[17:17:42,724]::[3157]::111 on_clock(): 1697649462.7235754::
::[info]::[17:17:43,726]::[3157]::111 on_clock(): 1697649463.7254624::
::[info]::[17:17:44,728]::[3157]::111 on_clock(): 1697649464.7273686::
::[info]::[17:17:45,731]::[3157]::111 on_clock(): 1697649465.7292597::
::[info]::[17:17:46,733]::[3157]::111 on_clock(): 1697649466.7320645::
::[info]::[17:17:47,735]::[3157]::111 on_clock(): 1697649467.7337215::
::[info]::[17:17:48,736]::[3157]::111 on_clock(): 1697649468.7355192::
::[info]::[17:17:49,738]::[3157]::111 on_clock(): 1697649469.7371988::
::[info]::[17:17:50,740]::[3157]::111 on_clock(): 1697649470.73886::
::[info]::[17:17:51,742]::[3157]::111 on_clock(): 1697649471.7405744::
::[info]::[17:17:52,743]::[3157]::111 on_clock(): 1697649472.742191::
::[info]::[17:17:53,745]::[3157]::111 on_clock(): 1697649473.7438881::
::[info]::[17:17:54,747]::[3157]::111 on_clock(): 1697649474.7455401::
::[info]::[17:17:55,748]::[3157]::111 on_clock(): 1697649475.7472494::
::[info]::[17:17:56,750]::[3157]::111 on_clock(): 1697649476.7489085::
::[info]::[17:17:57,751]::[3157]::111 on_clock(): 1697649477.750539::
::[info]::[17:17:58,753]::[3157]::111 on_clock(): 1697649478.7522001::
::[info]::[17:17:59,755]::[3157]::111 on_clock(): 1697649479.7539675::
::[info]::[17:18:00,757]::[3157]::111 on_clock(): 1697649480.7559128::
::[info]::[17:18:01,759]::[3157]::111 on_clock(): 1697649481.7579422::
::[info]::[17:18:02,760]::[3157]::111 on_clock(): 1697649482.7595937::
::[info]::[17:18:03,763]::[3157]::111 on_clock(): 1697649483.7615247::
::[info]::[17:18:04,764]::[3157]::111 on_clock(): 1697649484.7634149::
::[info]::[17:18:05,766]::[3157]::111 on_clock(): 1697649485.7650547::
::[info]::[17:18:06,768]::[3157]::111 on_clock(): 1697649486.7666883::
::[info]::[17:18:07,769]::[3157]::111 on_clock(): 1697649487.7683346::
::[info]::[17:18:08,771]::[3157]::111 on_clock(): 1697649488.770148::
::[info]::[17:18:09,773]::[3157]::111 on_clock(): 1697649489.772033::
::[info]::[17:18:10,775]::[3157]::111 on_clock(): 1697649490.7740688::
::[info]::[17:18:11,777]::[3157]::111 on_clock(): 1697649491.7759287::
::[info]::[17:18:12,779]::[3157]::111 on_clock(): 1697649492.7779715::
::[info]::[17:18:13,781]::[3157]::111 on_clock(): 1697649493.7798338::
::[info]::[17:18:14,783]::[3157]::111 on_clock(): 1697649494.781689::
::[info]::[17:18:15,785]::[3157]::111 on_clock(): 1697649495.7837377::
::[info]::[17:18:16,787]::[3157]::111 on_clock(): 1697649496.7855935::
::[info]::[17:18:17,789]::[3157]::111 on_clock(): 1697649497.7877629::
::[info]::[17:18:18,791]::[3157]::111 on_clock(): 1697649498.789616::
::[info]::[17:18:19,792]::[3157]::111 on_clock(): 1697649499.791671::
::[info]::[17:18:20,795]::[3157]::111 on_clock(): 1697649500.7935236::
::[info]::[17:18:21,796]::[3157]::111 on_clock(): 1697649501.795611::
::[info]::[17:18:22,799]::[3157]::111 on_clock(): 1697649502.797466::
::[info]::[17:18:23,800]::[3157]::111 on_clock(): 1697649503.7996175::
::[info]::[17:18:24,803]::[3157]::111 on_clock(): 1697649504.8014722::
::[info]::[17:18:25,805]::[3157]::111 on_clock(): 1697649505.8037136::
::[info]::[17:18:26,807]::[3157]::111 on_clock(): 1697649506.805569::
::[info]::[17:18:27,808]::[3157]::111 on_clock(): 1697649507.8076208::
::[info]::[17:18:28,811]::[3157]::111 on_clock(): 1697649508.809476::
::[info]::[17:18:29,812]::[3157]::111 on_clock(): 1697649509.811666::
::[info]::[17:18:30,815]::[3157]::111 on_clock(): 1697649510.8135178::
::[info]::[17:18:31,816]::[3157]::111 on_clock(): 1697649511.8155673::
::[info]::[17:18:32,819]::[3157]::111 on_clock(): 1697649512.8174236::
::[info]::[17:18:33,820]::[3157]::111 on_clock(): 1697649513.8196352::
::[info]::[17:18:34,823]::[3157]::111 on_clock(): 1697649514.8214915::
::[info]::[17:18:35,824]::[3157]::111 on_clock(): 1697649515.8236644::
::[info]::[17:18:36,827]::[3157]::111 on_clock(): 1697649516.8255162::
::[info]::[17:18:37,828]::[3157]::111 on_clock(): 1697649517.8275669::
::[info]::[17:18:38,831]::[3157]::111 on_clock(): 1697649518.8296142::
::[info]::[17:18:39,832]::[3157]::111 on_clock(): 1697649519.831682::
::[info]::[17:18:40,835]::[3157]::111 on_clock(): 1697649520.8339818::
::[info]::[17:18:41,837]::[3157]::111 on_clock(): 1697649521.8359222::
::[info]::[17:18:42,839]::[3157]::111 on_clock(): 1697649522.8381753::
::[info]::[17:18:43,841]::[3157]::111 on_clock(): 1697649523.8400478::
::[info]::[17:18:44,843]::[3157]::111 on_clock(): 1697649524.8420844::
::[info]::[17:18:45,845]::[3157]::111 on_clock(): 1697649525.844015::
::[info]::[17:18:46,847]::[3157]::111 on_clock(): 1697649526.8460517::
::[info]::[17:18:47,849]::[3157]::111 on_clock(): 1697649527.8479078::
::[info]::[17:18:48,851]::[3157]::111 on_clock(): 1697649528.8498294::
::[info]::[17:18:49,852]::[3157]::111 on_clock(): 1697649529.8516796::
::[info]::[17:18:50,854]::[3157]::111 on_clock(): 1697649530.8535304::
::[info]::[17:18:51,856]::[3157]::111 on_clock(): 1697649531.855454::
::[info]::[17:18:52,858]::[3157]::111 on_clock(): 1697649532.857309::
::[info]::[17:18:53,860]::[3157]::111 on_clock(): 1697649533.859155::
::[info]::[17:18:54,862]::[3157]::111 on_clock(): 1697649534.8610094::
::[info]::[17:18:55,864]::[3157]::111 on_clock(): 1697649535.8628626::
::[info]::[17:18:56,866]::[3157]::111 on_clock(): 1697649536.8647158::
::[info]::[17:18:57,867]::[3157]::111 on_clock(): 1697649537.866453::
::[info]::[17:18:58,869]::[3157]::111 on_clock(): 1697649538.8679671::
::[info]::[17:18:59,871]::[3157]::111 on_clock(): 1697649539.8698888::
::[info]::[17:19:00,873]::[3157]::111 on_clock(): 1697649540.8717775::
::[info]::[17:19:01,875]::[3157]::111 on_clock(): 1697649541.8736362::
::[info]::[17:19:02,876]::[3157]::111 on_clock(): 1697649542.8755589::
::[info]::[17:19:03,878]::[3157]::111 on_clock(): 1697649543.8774118::
::[info]::[17:19:04,880]::[3157]::111 on_clock(): 1697649544.879501::
::[info]::[17:19:05,882]::[3157]::111 on_clock(): 1697649545.881357::
::[info]::[17:19:06,884]::[3157]::111 on_clock(): 1697649546.883286::
::[info]::[17:19:07,886]::[3157]::111 on_clock(): 1697649547.8851364::
::[info]::[17:19:08,888]::[3157]::111 on_clock(): 1697649548.8870256::
::[info]::[17:19:09,892]::[3157]::111 on_clock(): 1697649549.888671::
::[info]::[17:19:10,891]::[3157]::111 on_clock(): 1697649550.8904486::
::[info]::[17:19:11,893]::[3157]::111 on_clock(): 1697649551.8923457::
::[info]::[17:19:12,895]::[3157]::111 on_clock(): 1697649552.8942425::
::[info]::[17:19:13,897]::[3157]::111 on_clock(): 1697649553.8960986::
::[info]::[17:19:14,899]::[3157]::111 on_clock(): 1697649554.898018::
::[info]::[17:19:15,901]::[3157]::111 on_clock(): 1697649555.8999074::
::[info]::[17:19:16,903]::[3157]::111 on_clock(): 1697649556.9015589::
::[info]::[17:19:17,905]::[3157]::111 on_clock(): 1697649557.9037225::
::[info]::[17:19:18,906]::[3157]::111 on_clock(): 1697649558.9055798::
::[info]::[17:19:19,908]::[3157]::111 on_clock(): 1697649559.9075353::
::[info]::[17:19:20,910]::[3157]::111 on_clock(): 1697649560.909393::
::[info]::[17:19:21,912]::[3157]::111 on_clock(): 1697649561.9113505::
::[info]::[17:19:22,914]::[3157]::111 on_clock(): 1697649562.9132047::
::[info]::[17:19:23,916]::[3157]::111 on_clock(): 1697649563.9150493::
::[info]::[17:19:24,918]::[3157]::111 on_clock(): 1697649564.9169126::
::[info]::[17:19:25,920]::[3157]::111 on_clock(): 1697649565.9187663::
::[info]::[17:19:26,922]::[3157]::111 on_clock(): 1697649566.9206507::
::[info]::[17:19:27,923]::[3157]::111 on_clock(): 1697649567.922391::
::[info]::[17:19:28,926]::[3157]::111 on_clock(): 1697649568.9242895::
::[info]::[17:19:29,928]::[3157]::111 on_clock(): 1697649569.9269845::
::[info]::[17:19:30,930]::[3157]::111 on_clock(): 1697649570.9288878::
::[info]::[17:19:31,932]::[3157]::111 on_clock(): 1697649571.9307833::
::[info]::[17:19:32,936]::[3157]::111 on_clock(): 1697649572.932635::
::[info]::[17:19:33,935]::[3157]::111 on_clock(): 1697649573.9343767::
::[info]::[17:19:34,937]::[3157]::111 on_clock(): 1697649574.936272::
::[info]::[17:19:35,939]::[3157]::111 on_clock(): 1697649575.938283::
::[info]::[17:19:36,941]::[3157]::111 on_clock(): 1697649576.9401407::
::[info]::[17:19:37,943]::[3157]::111 on_clock(): 1697649577.9420655::
::[info]::[17:19:38,944]::[3157]::111 on_clock(): 1697649578.943297::
::[info]::[17:19:39,946]::[3157]::111 on_clock(): 1697649579.9451864::
::[info]::[17:19:40,948]::[3157]::111 on_clock(): 1697649580.9470432::
::[info]::[17:19:41,950]::[3157]::111 on_clock(): 1697649581.9489317::
